"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Condition,Printing,Language,Price Bought,Date Bought,AVG,LOW,TREND
Collection,1,0,A Tale for the Ages,WOE,Wilds of Eldraine,34,NearMint,Normal,English,0.17,2026-08-26,0.17,0.02,0.17
Collection,1,0,"Aang, A Lot to Learn",TLE,Avatar: The Last Airbender Eternal,146,NearMint,Normal,English,0.16,2026-08-26,0.19,0.02,0.16
Collection,1,0,"Aang, the Last Airbender",TLA,Avatar: The Last Airbender,4,NearMint,Normal,English,0.11,2026-08-24,0.10,0.02,0.10
Collection,1,0,"Aang's Iceberg",TLA,Avatar: The Last Airbender,5,NearMint,Normal,English,0.45,2026-08-26,0.43,0.02,0.45
Collection,1,0,Absolving Lammasu,MKM,Murders at Karlov Manor,2,NearMint,Foil,English,0.07,2026-08-26,0.12,0.02,0.07
Collection,1,0,Absolving Lammasu,MKM,Murders at Karlov Manor,2,NearMint,Normal,English,0.04,2026-08-26,0.03,0.02,0.04
Collection,1,0,"Abuelo, Ancestral Echo",LCI,The Lost Caverns of Ixalan,297,NearMint,Normal,English,0.24,2026-08-26,0.23,0.02,0.24
Collection,1,0,"Abuelo's Awakening",LCI,The Lost Caverns of Ixalan,1,NearMint,Normal,English,0.08,2026-08-26,0.13,0.02,0.08
Collection,1,0,Aerith Gainsborough,FIN,Final Fantasy,4,NearMint,Normal,English,1.73,2026-08-24,1.53,0.50,1.65
Collection,1,0,Against All Odds,ONE,Phyrexia: All Will Be One,1,NearMint,Foil,English,0.31,2026-08-26,0.29,0.02,0.31
Collection,1,0,Agent of the Iron Throne,CLB,"Commander Legends: Battle for Baldur's Gate",107,NearMint,Normal,English,0.70,2026-08-24,0.63,0.08,0.67
Collection,1,0,"Agrus Kos, Spirit of Justice",MKM,Murders at Karlov Manor,184,NearMint,Foil,English,0.70,2026-08-26,0.48,0.28,0.70
Collection,1,0,"Agrus Kos, Spirit of Justice",MKM,Murders at Karlov Manor,184,NearMint,Normal,English,0.29,2026-08-26,0.36,0.09,0.29
Collection,1,0,Ajani Fells the Godsire,MH3,Modern Horizons 3,19,NearMint,Normal,English,0.10,2026-08-26,0.08,0.02,0.10
Collection,1,0,"Ajani, the Greathearted",WAR,War of the Spark,184,NearMint,Normal,English,0.43,2026-08-26,0.41,0.02,0.43
Collection,1,0,"Ajani's Pridemate",WAR,War of the Spark,4,NearMint,Normal,English,0.10,2026-08-26,0.09,0.02,0.10
Collection,1,0,"Akawalli, the Seething Tower",LCI,The Lost Caverns of Ixalan,220,NearMint,Normal,English,0.05,2026-08-26,0.08,0.02,0.05
Collection,1,0,"Akawalli, the Seething Tower",LCI,The Lost Caverns of Ixalan,298,NearMint,Foil,English,0.09,2026-08-26,0.10,0.02,0.09
Collection,1,0,All That Glitters,CMM,Commander Masters,622,NearMint,Normal,English,0.40,2026-08-26,0.46,0.10,0.40
Collection,1,0,"Altar's Light",MRD,Mirrodin,1,NearMint,Normal,English,0.09,2026-08-26,0.09,0.02,0.09
Collection,1,0,Ambitious Farmhand,INR,Innistrad Remastered,8,NearMint,Normal,English,0.21,2026-08-26,0.20,0.02,0.21
Collection,1,0,"Aminatou, Veil Piercer",DSC,Duskmourn: House of Horror Commander,1,NearMint,Foil,English,0.74,2026-08-26,0.55,0.20,0.74
Collection,1,0,Amphin Mutineer,MKC,Murders at Karlov Manor Commander,95,NearMint,Normal,English,0.16,2026-08-26,0.17,0.02,0.16
Collection,2,0,Angel of Finality,FDN,Foundations,136,NearMint,Normal,English,0.11,2026-08-26,0.10,0.02,0.11
Collection,1,0,Angel of Sanctions,DRC,Aetherdrift Commander,62,NearMint,Normal,English,0.21,2026-08-26,0.23,0.04,0.21
Collection,1,0,Angel of the Ruins,FIC,Final Fantasy Commander,229,NearMint,Normal,English,0.20,2026-08-26,0.21,0.05,0.20
Collection,1,0,Angel of the Ruins,MOC,March of the Machine Commander,171,NearMint,Normal,English,0.27,2026-08-26,0.24,0.03,0.27
Collection,1,0,Angel of the Ruins,EOC,Edge of Eternities Commander,63,NearMint,Normal,English,0.18,2026-08-26,0.14,0.02,0.18
Collection,1,0,Annul,EOE,Edge of Eternities,46,NearMint,Normal,English,0.21,2026-08-26,0.23,0.02,0.21
Collection,1,0,Another Round,OTJ,Outlaws of Thunder Junction,307,NearMint,Normal,English,0.65,2026-08-26,0.65,0.19,0.65
Collection,1,0,"Appa, Loyal Sky Bison",TLA,Avatar: The Last Airbender,9,NearMint,Normal,English,0.12,2026-08-24,0.11,0.02,0.12
